chr	tss	strand	gene_name	gene_id
chr22	42553955	+	SERHL2	SERHL2
chr6	122471807	-	SERINC1	SERINC1
chr1	31409776	+	SERINC2	SERINC2
chr20	44522070	-	SERINC3	SERINC3
chr15	43800097	-	SERINC4	SERINC4
chr5	80256048	-	SERINC5	SERINC5
chr3	150546496	-	SERP1	SERP1
chr13	44373649	+	SERP2	SERP2
chr14	94388602	-	SERPINA1	SERPINA1
chr14	94293024	-	SERPINA10	SERPINA10
chr14	94452800	-	SERPINA11	SERPINA11
chr14	94504222	-	SERPINA12	SERPINA12
chr14	94640724	+	SERPINA13P	SERPINA13P
chr14	94366702	-	SERPINA2	SERPINA2
chr14	94612390	+	SERPINA3	SERPINA3
chr14	94561441	+	SERPINA4	SERPINA4
chr14	94581425	+	SERPINA5	SERPINA5
chr14	94323336	-	SERPINA6	SERPINA6
chrX	106038727	-	SERPINA7	SERPINA7
chr14	94476197	-	SERPINA9	SERPINA9
chr6	2841863	-	SERPINB1	SERPINB1
chr18	63907957	+	SERPINB10	SERPINB10
chr18	63702306	+	SERPINB11	SERPINB11
chr18	63542368	+	SERPINB12	SERPINB12
chr18	63587299	+	SERPINB13	SERPINB13
chr18	63887704	+	SERPINB2	SERPINB2
chr18	63661893	-	SERPINB3	SERPINB3
chr18	63644256	-	SERPINB4	SERPINB4
chr18	63476957	+	SERPINB5	SERPINB5
chr6	2962130	-	SERPINB6	SERPINB6
chr18	63753046	+	SERPINB7	SERPINB7
chr18	63970028	+	SERPINB8	SERPINB8
chr6	2903309	-	SERPINB9	SERPINB9
chr6	2876510	-	SERPINB9P1	SERPINB9P1
chr1	173917327	-	SERPINC1	SERPINC1
chr22	20774112	+	SERPIND1	SERPIND1
chr7	101127103	+	SERPINE1	SERPINE1
chr2	224031478	-	SERPINE2	SERPINE2
chr13	51341031	+	SERPINE3	SERPINE3
chr17	1761924	+	SERPINF1	SERPINF1
chr17	1742870	+	SERPINF2	SERPINF2
chr11	57597684	+	SERPING1	SERPING1
chr11	75562252	+	SERPINH1	SERPINH1
chr3	167735720	+	SERPINI1	SERPINI1
chr3	167474042	-	SERPINI2	SERPINI2
chr19	40425992	-	SERTAD1	SERTAD1
chr2	64653913	-	SERTAD2	SERTAD2
chr19	40442598	-	SERTAD3	SERTAD3
chr1	210232795	+	SERTAD4	SERTAD4
chr1	210233885	-	SERTAD4-AS1	SERTAD4-AS1
chr13	36674019	+	SERTM1	SERTM1
chrX	111511644	+	SERTM2	SERTM2
chr6	109008988	-	SESN1	SESN1
chr1	28259517	+	SESN2	SESN2
chr11	95231202	-	SESN3	SESN3
chr2	179264832	-	SESTD1	SESTD1
chr9	128683423	+	SET	SET
chr18	44680072	+	SETBP1	SETBP1
chr16	30957753	+	SETD1A	SETD1A
chr12	121804008	+	SETD1B	SETD1B
chr3	47164113	-	SETD2	SETD2
chr14	99480859	-	SETD3	SETD3
chr21	36060364	-	SETD4	SETD4
chr3	9397614	+	SETD5	SETD5
chr16	58515478	+	SETD6	SETD6
chr4	139556769	-	SETD7	SETD7
chr5	56909259	+	SETD9	SETD9
chr1	150926262	+	SETDB1	SETDB1
chr13	49444273	+	SETDB2	SETDB2
chr13	49444273	+	SETDB2-PHF11	SETDB2-PHF11
chr3	4303303	+	SETMAR	SETMAR
chr1	92075472	-	SETSIP	SETSIP
chr9	132354856	-	SETX	SETX
chr17	29006033	-	SEZ6	SEZ6
chr22	26169461	+	SEZ6L	SEZ6L
chr16	29899264	-	SEZ6L2	SEZ6L2
chr11	64777761	-	SF1	SF1
chr22	30356894	-	SF3A1	SF3A1
chr19	2236823	+	SF3A2	SF3A2
chr1	37990022	-	SF3A3	SF3A3
chr2	197435028	-	SF3B1	SF3B1
chr11	66052363	+	SF3B2	SF3B2
chr16	70523815	+	SF3B3	SF3B3
chr1	149927803	-	SF3B4	SF3B4
chr6	144095573	-	SF3B5	SF3B5
chr2	24076326	-	SF3B6	SF3B6
chr22	31496138	+	SFI1	SFI1
chr3	53046073	-	SFMBT1	SFMBT1
chr10	7409341	-	SFMBT2	SFMBT2
chr1	26863148	+	SFN	SFN
chr1	35193145	-	SFPQ	SFPQ
chr10	104120165	+	SFR1	SFR1
chr8	41309473	-	SFRP1	SFRP1
chr4	153789083	-	SFRP2	SFRP2
chr7	37916817	-	SFRP4	SFRP4
chr10	97771999	-	SFRP5	SFRP5
chr12	131711089	+	SFSWAP	SFSWAP
chr6	166342545	-	SFT2D1	SFT2D1
chr1	168226003	+	SFT2D2	SFT2D2
chr2	127701496	+	SFT2D3	SFT2D3
chr10	10794914	-	SFTA1P	SFTA1P
chr6	30932170	-	SFTA2	SFTA2
chr14	36513535	-	SFTA3	SFTA3
chr10	79610938	+	SFTPA1	SFTPA1
chr10	79559871	-	SFTPA2	SFTPA2
chr2	85668199	-	SFTPB	SFTPB
chr8	22157382	+	SFTPC	SFTPC
chr10	79949105	-	SFTPD	SFTPD
chr5	175478559	+	SFXN1	SFXN1
chr10	102714517	+	SFXN2	SFXN2
chr10	101031233	+	SFXN3	SFXN3
chr10	119165692	-	SFXN4	SFXN4
chr2	73059172	-	SFXN5	SFXN5
chr17	50166004	+	SGCA	SGCA
chr4	52038299	-	SGCB	SGCB
chr5	156327163	+	SGCD	SGCD
chr7	94656133	-	SGCE	SGCE
chr13	23160507	+	SGCG	SGCG
chr8	15238431	-	SGCZ	SGCZ
chr16	28553919	+	SGF29	SGF29
chr1	66533360	+	SGIP1	SGIP1
chr6	134174866	-	SGK1	SGK1
chr20	43559026	+	SGK2	SGK2
chr8	66712780	+	SGK3	SGK3
chr10	50623956	-	SGMS1	SGMS1
chr10	50624950	+	SGMS1-AS1	SGMS1-AS1
chr4	107824562	+	SGMS2	SGMS2
chr3	20186206	-	SGO1	SGO1
chr3	20174285	+	SGO1-AS1	SGO1-AS1
chr2	200526141	+	SGO2	SGO2
chr10	70815947	+	SGPL1	SGPL1
chr14	63728065	-	SGPP1	SGPP1
chr2	222423987	+	SGPP2	SGPP2
chr17	80220333	-	SGSH	SGSH
chr22	24806210	+	SGSM1	SGSM1
chr17	2337500	+	SGSM2	SGSM2
chr22	40370593	+	SGSM3	SGSM3
chr19	2783273	-	SGTA	SGTA
chr5	65722109	-	SGTB	SGTB
chr16	28846599	+	SH2B1	SH2B1
chr7	102285140	+	SH2B2	SH2B2
chr12	111405922	+	SH2B3	SH2B3
chrX	124346281	+	SH2D1A	SH2D1A
chr1	162412136	-	SH2D1B	SH2D1B
chr1	156816457	-	SH2D2A	SH2D2A
chr19	6767435	-	SH2D3A	SH2D3A
chr9	127755282	-	SH2D3C	SH2D3C
chr8	19313569	+	SH2D4A	SH2D4A
chr10	80537901	+	SH2D4B	SH2D4B
chr1	20732703	-	SH2D5	SH2D5
chr2	85418930	+	SH2D6	SH2D6
chr15	78092584	+	SH2D7	SH2D7
chr21	39445864	+	SH3BGR	SH3BGR
chrX	81202101	+	SH3BGRL	SH3BGRL
chr6	79631328	+	SH3BGRL2	SH3BGRL2
chr1	26280085	+	SH3BGRL3	SH3BGRL3
chr22	37639668	+	SH3BP1	SH3BP1
chr4	2793084	+	SH3BP2	SH3BP2
chr2	234952016	+	SH3BP4	SH3BP4
chr3	15332586	-	SH3BP5	SH3BP5
chr3	15254183	+	SH3BP5-AS1	SH3BP5-AS1
chr1	248825366	-	SH3BP5L	SH3BP5L
chr4	151175552	-	SH3D19	SH3D19
chr1	36306367	+	SH3D21	SH3D21
chr19	4400547	-	SH3GL1	SH3GL1
chr17	32040335	+	SH3GL1P1	SH3GL1P1
chr17	30624317	+	SH3GL1P2	SH3GL1P2
chr9	17579065	+	SH3GL2	SH3GL2
chr15	83447227	+	SH3GL3	SH3GL3
chr1	86704569	+	SH3GLB1	SH3GLB1
chr9	129028331	-	SH3GLB2	SH3GLB2
chrX	19670999	-	SH3KBP1	SH3KBP1
chr10	103678215	-	SH3PXD2A	SH3PXD2A
chr10	103746778	+	SH3PXD2A-AS1	SH3PXD2A-AS1
chr5	172454523	-	SH3PXD2B	SH3PXD2B
chr4	169270956	-	SH3RF1	SH3RF1
chr5	145936577	+	SH3RF2	SH3RF2
chr2	109129204	+	SH3RF3	SH3RF3
chr2	109130119	-	SH3RF3-AS1	SH3RF3-AS1
chr4	8199289	+	SH3TC1	SH3TC1
chr5	149063062	-	SH3TC2	SH3TC2
chr5	149063316	+	SH3TC2-DT	SH3TC2-DT
chr2	256340	-	SH3YL1	SH3YL1
chr19	50719802	-	SHANK1	SHANK1
chr11	70661841	-	SHANK2	SHANK2
chr11	70631093	+	SHANK2-AS1	SHANK2-AS1
chr11	70862789	+	SHANK2-AS3	SHANK2-AS3
chr22	50672822	+	SHANK3	SHANK3
chr8	144103773	-	SHARPIN	SHARPIN
chr9	38069227	-	SHB	SHB
chr17	7614063	+	SHBG	SHBG
chr1	154970747	-	SHC1	SHC1
chr19	460996	-	SHC2	SHC2
chr9	89178818	-	SHC3	SHC3
chr15	48963919	-	SHC4	SHC4
chr16	46621379	-	SHCBP1	SHCBP1
chr1	182953166	-	SHCBP1L	SHCBP1L
chr19	4279068	+	SHD	SHD
chr1	154502412	-	SHE	SHE
chr15	45181207	-	SHF	SHF
chr19	10086316	+	SHFL	SHFL
chr7	155809163	-	SHH	SHH
chr13	26052016	-	SHISA2	SHISA2
chr4	42397487	+	SHISA3	SHISA3
chr1	201888668	+	SHISA4	SHISA4
chr3	48473158	-	SHISA5	SHISA5
chr17	11241212	+	SHISA6	SHISA6
chr19	55442863	-	SHISA7	SHISA7
chr22	41915074	-	SHISA8	SHISA8
chr16	12901597	+	SHISA9	SHISA9
chr22	44312951	-	SHISAL1	SHISAL1
chr1	52633167	+	SHISAL2A	SHISAL2A
chr5	64690502	+	SHISAL2B	SHISAL2B
chr19	40576872	+	SHKBP1	SHKBP1
chr20	5750386	+	SHLD1	SHLD1
chr10	87095205	+	SHLD2	SHLD2
chr10	46651976	-	SHLD2P1	SHLD2P1
chr10	47689699	+	SHLD2P3	SHLD2P3
chr5	65625026	+	SHLD3	SHLD3
chr17	18363550	-	SHMT1	SHMT1
chr12	57229710	+	SHMT2	SHMT2
chr9	111759536	-	SHOC1	SHOC1
chr10	110919369	+	SHOC2	SHOC2
chrX	624343	+	SHOX	SHOX
chr3	158106163	-	SHOX2	SHOX2
chr17	3636250	-	SHPK	SHPK
chr6	145964097	-	SHPRH	SHPRH
chr3	72848445	-	SHQ1	SHQ1
chr5	132826310	-	SHROOM1	SHROOM1
chrX	9786428	+	SHROOM2	SHROOM2
chr4	76435228	+	SHROOM3	SHROOM3
chrX	50814044	-	SHROOM4	SHROOM4
chr10	117005187	-	SHTN1	SHTN1
chr3	165078496	-	SI	SI
chr11	124673739	-	SIAE	SIAE
chr16	48365887	-	SIAH1	SIAH1
chr3	150763169	-	SIAH2	SIAH2
chr13	45851753	-	SIAH3	SIAH3
chr3	113532370	+	SIDT1	SIDT1
chr11	117178742	+	SIDT2	SIDT2
chr11	414999	-	SIGIRR	SIGIRR
chr20	3707234	-	SIGLEC1	SIGLEC1
chr19	51417642	-	SIGLEC10	SIGLEC10
chr19	51415723	+	SIGLEC10-AS1	SIGLEC10-AS1
chr19	49961172	-	SIGLEC11	SIGLEC11
chr19	51500393	-	SIGLEC12	SIGLEC12
chr19	51646819	-	SIGLEC14	SIGLEC14
chr18	45825674	+	SIGLEC15	SIGLEC15
chr19	49969663	+	SIGLEC16	SIGLEC16
chr19	51167327	+	SIGLEC17P	SIGLEC17P
chr19	51630401	-	SIGLEC5	SIGLEC5
chr19	51531670	-	SIGLEC6	SIGLEC6
chr19	51142300	+	SIGLEC7	SIGLEC7
chr19	51458454	-	SIGLEC8	SIGLEC8
chr19	51124879	+	SIGLEC9	SIGLEC9
chr19	51246331	+	SIGLECL1	SIGLECL1
chr9	34637787	-	SIGMAR1	SIGMAR1
chr21	6111130	+	SIK1	SIK1
chr21	6111130	+	SIK1B	SIK1B
chr11	111602448	+	SIK2	SIK2
chr11	117098428	-	SIK3	SIK3
chr1	114780685	-	SIKE1	SIKE1
chr5	139198368	-	SIL1	SIL1
chr2	5932686	+	SILC1	SILC1
chr6	100464456	-	SIM1	SIM1
chr21	36699114	+	SIM2	SIM2
chr5	176238358	+	SIMC1	SIMC1
chr15	75451690	-	SIN3A	SIN3A
chr19	16829397	+	SIN3B	SIN3B
chr12	31326150	-	SINHCAF	SINHCAF
chr11	65638100	+	SIPA1	SIPA1
chr14	71320475	+	SIPA1L1	SIPA1L1
chr1	232630133	-	SIPA1L2	SIPA1L2
chr19	37907207	+	SIPA1L3	SIPA1L3
chr8	40343363	-	SIRLNT	SIRLNT
chr20	1894166	+	SIRPA	SIRPA
chr20	1588697	-	SIRPB1	SIRPB1
chr20	1491420	-	SIRPB2	SIRPB2
chr20	1722292	-	SIRPB3P	SIRPB3P
chr20	1557705	-	SIRPD	SIRPD
chr20	1657779	-	SIRPG	SIRPG
chr20	1633507	+	SIRPG-AS1	SIRPG-AS1
chr10	67884655	+	SIRT1	SIRT1
chr19	38894155	-	SIRT2	SIRT2
chr11	236342	-	SIRT3	SIRT3
chr12	120291779	+	SIRT4	SIRT4
chr6	13574273	+	SIRT5	SIRT5
chr19	4182306	-	SIRT6	SIRT6
chr17	81918176	-	SIRT7	SIRT7
chr9	35650931	-	SIT1	SIT1
chr14	104753146	+	SIVA1	SIVA1
chr14	60649477	-	SIX1	SIX1
chr2	45009452	-	SIX2	SIX2
chr2	44941701	+	SIX3	SIX3
chr2	44941507	-	SIX3-AS1	SIX3-AS1
chr14	60724351	-	SIX4	SIX4
chr19	45769252	-	SIX5	SIX5
chr14	60509145	+	SIX6	SIX6
chr18	50375045	+	SKA1	SKA1
chr17	59155186	-	SKA2	SKA2
chr13	21176552	-	SKA3	SKA3
chr17	48430214	-	SKAP1	SKAP1
chr7	26857723	-	SKAP2	SKAP2
chr1	2228318	+	SKI	SKI
chr10	21525682	-	SKIDA1	SKIDA1
chr3	170357714	+	SKIL	SKIL
chr1	48182428	-	SKINT1L	SKINT1L
chr6	31959174	+	SKIV2L	SKIV2L
chr15	67825508	+	SKOR1	SKOR1
chr18	47251660	-	SKOR2	SKOR2
chr5	134176950	-	SKP1	SKP1
chr12	16988746	+	SKP1P2	SKP1P2
chr5	36152042	+	SKP2	SKP2
chr8	133060354	-	SLA	SLA
chr20	36646196	-	SLA2	SLA2
chr13	77697686	+	SLAIN1	SLAIN1
chr4	48341528	+	SLAIN2	SLAIN2
chr1	160647044	-	SLAMF1	SLAMF1
chr1	160523255	-	SLAMF6	SLAMF6
chr1	160739056	+	SLAMF7	SLAMF7
chr1	159826872	+	SLAMF8	SLAMF8
chr1	159954237	-	SLAMF9	SLAMF9
chr4	1712319	-	SLBP	SLBP
chr14	69797241	-	SLC10A1	SLC10A1
chr13	103066417	-	SLC10A2	SLC10A2
chrX	154490629	-	SLC10A3	SLC10A3
chr4	48483342	+	SLC10A4	SLC10A4
chr8	81695058	-	SLC10A5	SLC10A5
chr4	86849384	-	SLC10A6	SLC10A6
chr4	146521940	-	SLC10A7	SLC10A7
chr2	218382272	+	SLC11A1	SLC11A1
chr12	51009215	-	SLC11A2	SLC11A2
chr15	48206301	+	SLC12A1	SLC12A1
chr5	128083765	+	SLC12A2	SLC12A2
chr16	56865206	+	SLC12A3	SLC12A3
chr16	67964052	-	SLC12A4	SLC12A4
chr20	46021685	+	SLC12A5	SLC12A5
chr20	46022073	-	SLC12A5-AS1	SLC12A5-AS1
chr15	34318820	-	SLC12A6	SLC12A6
chr5	1112063	-	SLC12A7	SLC12A7
chr3	125211399	-	SLC12A8	SLC12A8
chr7	100826868	+	SLC12A9	SLC12A9
chr7	100852614	-	SLC12A9-AS1	SLC12A9-AS1
chr7	123199969	-	SLC13A1	SLC13A1
chr17	28473643	+	SLC13A2	SLC13A2
chr20	46651459	-	SLC13A3	SLC13A3
chr7	135728186	-	SLC13A4	SLC13A4
chr17	6713369	-	SLC13A5	SLC13A5
chr18	45724180	+	SLC14A1	SLC14A1
chr18	45167962	+	SLC14A2	SLC14A2
chr18	45507036	-	SLC14A2-AS1	SLC14A2-AS1
chr13	98752672	-	SLC15A1	SLC15A1
chr3	121894400	+	SLC15A2	SLC15A2
chr11	60952176	-	SLC15A3	SLC15A3
chr12	128823958	-	SLC15A4	SLC15A4
chr12	16277685	-	SLC15A5	SLC15A5
chr1	112956063	-	SLC16A1	SLC16A1
chr1	112956414	+	SLC16A1-AS1	SLC16A1-AS1
chr6	111087502	+	SLC16A10	SLC16A10
chr17	7044092	-	SLC16A11	SLC16A11
chr10	89535594	-	SLC16A12	SLC16A12
chr10	89455990	+	SLC16A12-AS1	SLC16A12-AS1
chr17	7036014	+	SLC16A13	SLC16A13
chr2	230068924	-	SLC16A14	SLC16A14
chrX	74421492	+	SLC16A2	SLC16A2
chr17	82228405	+	SLC16A3	SLC16A3
chr1	110391026	-	SLC16A4	SLC16A4
chr17	75087764	+	SLC16A5	SLC16A5
chr17	68291127	-	SLC16A6	SLC16A6
chr12	59596028	+	SLC16A7	SLC16A7
chr22	38084184	-	SLC16A8	SLC16A8
chr10	59709891	-	SLC16A9	SLC16A9
chr6	25832052	-	SLC17A1	SLC17A1
chr6	25925879	-	SLC17A2	SLC17A2
chr6	25874243	-	SLC17A3	SLC17A3
chr6	25754698	+	SLC17A4	SLC17A4
chr6	73653992	-	SLC17A5	SLC17A5
chr11	22338380	+	SLC17A6	SLC17A6
chr19	49441527	-	SLC17A7	SLC17A7
chr12	100357073	+	SLC17A8	SLC17A8
chr20	62952708	+	SLC17A9	SLC17A9
chr8	20183136	-	SLC18A1	SLC18A1
chr10	117241113	+	SLC18A2	SLC18A2
chr10	49610309	+	SLC18A3	SLC18A3
chr6	132798637	-	SLC18B1	SLC18B1
chr21	45534756	-	SLC19A1	SLC19A1
chr1	169485944	-	SLC19A2	SLC19A2
chr2	227706656	-	SLC19A3	SLC19A3
chr9	4490467	+	SLC1A1	SLC1A1
chr11	35419558	-	SLC1A2	SLC1A2
chr5	36606354	+	SLC1A3	SLC1A3
chr2	64988478	+	SLC1A4	SLC1A4
chr19	46784814	-	SLC1A5	SLC1A5
chr19	14979864	-	SLC1A6	SLC1A6
chr1	53142638	-	SLC1A7	SLC1A7
chr2	112645938	+	SLC20A1	SLC20A1
chr8	42501231	-	SLC20A2	SLC20A2
chr6	160121814	+	SLC22A1	SLC22A1
chr11	63289902	+	SLC22A10	SLC22A10
chr11	64555940	+	SLC22A11	SLC22A11
chr11	64590809	+	SLC22A12	SLC22A12
chr3	38265811	+	SLC22A13	SLC22A13
chr3	38282293	+	SLC22A14	SLC22A14
chr1	115976512	+	SLC22A15	SLC22A15
chr6	110476613	-	SLC22A16	SLC22A16
chr14	23352451	-	SLC22A17	SLC22A17
chr11	2899690	+	SLC22A18	SLC22A18
chr11	2903575	-	SLC22A18AS	SLC22A18AS
chr6	160258821	-	SLC22A2	SLC22A2
chr11	65213839	+	SLC22A20P	SLC22A20P
chr6	3324150	-	SLC22A23	SLC22A23
chr11	63144221	-	SLC22A24	SLC22A24
chr11	63229652	-	SLC22A25	SLC22A25
chr6	160348377	+	SLC22A3	SLC22A3
chr16	89200537	-	SLC22A31	SLC22A31
chr5	132294393	+	SLC22A4	SLC22A4
chr5	132369708	+	SLC22A5	SLC22A5
chr11	62984967	-	SLC22A6	SLC22A6
chr6	43298259	+	SLC22A7	SLC22A7
chr11	63015841	-	SLC22A8	SLC22A8
chr11	63369784	+	SLC22A9	SLC22A9
chr5	139383297	-	SLC23A1	SLC23A1
chr20	5001510	-	SLC23A2	SLC23A2
chr2	219170029	-	SLC23A3	SLC23A3
chr15	65611349	+	SLC24A1	SLC24A1
chr9	19789037	-	SLC24A2	SLC24A2
chr20	19212641	+	SLC24A3	SLC24A3
chr20	19284596	-	SLC24A3-AS1	SLC24A3-AS1
chr14	92322580	+	SLC24A4	SLC24A4
chr15	48120989	+	SLC24A5	SLC24A5
chr22	19178505	-	SLC25A1	SLC25A1
chr17	81712235	+	SLC25A10	SLC25A10
chr17	4940046	-	SLC25A11	SLC25A11
chr2	171894244	-	SLC25A12	SLC25A12
chr7	96322098	-	SLC25A13	SLC25A13
chrX	130339887	+	SLC25A14	SLC25A14
chr13	40789610	+	SLC25A15	SLC25A15
chr10	68518218	-	SLC25A16	SLC25A16
chr22	40819346	-	SLC25A17	SLC25A17
chr22	17563438	+	SLC25A18	SLC25A18
chr17	75289433	-	SLC25A19	SLC25A19
chr5	141304049	-	SLC25A2	SLC25A2
chr3	48898882	-	SLC25A20	SLC25A20
chr14	37172606	-	SLC25A21	SLC25A21
chr14	37172025	+	SLC25A21-AS1	SLC25A21-AS1
chr11	796238	-	SLC25A22	SLC25A22
chr19	6459792	-	SLC25A23	SLC25A23
chr1	108192835	-	SLC25A24	SLC25A24
chr9	128068199	+	SLC25A25	SLC25A25
chr9	128118734	-	SLC25A25-AS1	SLC25A25-AS1
chr3	66133609	+	SLC25A26	SLC25A26
chr6	46652914	+	SLC25A27	SLC25A27
chr10	99620439	-	SLC25A28	SLC25A28
chr14	100306444	-	SLC25A29	SLC25A29
chr12	98593624	+	SLC25A3	SLC25A3
chr13	45418373	-	SLC25A30	SLC25A30
chr13	45418161	+	SLC25A30-AS1	SLC25A30-AS1
chr4	127730399	+	SLC25A31	SLC25A31
chr8	103415107	-	SLC25A32	SLC25A32
chr1	9539464	+	SLC25A33	SLC25A33
chr1	15736257	+	SLC25A34	SLC25A34
chr1	15749890	-	SLC25A34-AS1	SLC25A34-AS1
chr17	8295343	-	SLC25A35	SLC25A35
chr3	140941835	+	SLC25A36	SLC25A36
chr8	23528955	+	SLC25A37	SLC25A37
chr3	39383369	+	SLC25A38	SLC25A38
chr17	44324823	-	SLC25A39	SLC25A39
chr1	53440020	-	SLC25A3P1	SLC25A3P1
chr4	185143265	+	SLC25A4	SLC25A4
chr7	87876360	-	SLC25A40	SLC25A40
chr19	6433763	-	SLC25A41	SLC25A41
chr19	19063993	+	SLC25A42	SLC25A42
chrX	119399335	+	SLC25A43	SLC25A43
chr1	156194103	+	SLC25A44	SLC25A44
chr11	65381971	-	SLC25A45	SLC25A45
chr5	110738144	+	SLC25A46	SLC25A46
chr14	100323338	+	SLC25A47	SLC25A47
chr5	135579164	+	SLC25A48	SLC25A48
chr5	135653935	-	SLC25A48-AS1	SLC25A48-AS1
chrX	119468443	+	SLC25A5	SLC25A5
chrX	119468262	-	SLC25A5-AS1	SLC25A5-AS1
chr9	37904127	-	SLC25A51	SLC25A51
chr6	65787878	+	SLC25A51P1	SLC25A51P1
chr11	18209137	+	SLC25A51P4	SLC25A51P4
chr18	31760880	-	SLC25A52	SLC25A52
chrX	104157009	-	SLC25A53	SLC25A53
chrX	1392113	-	SLC25A6	SLC25A6
chr4	993404	-	SLC26A1	SLC26A1
chr12	57619526	+	SLC26A10	SLC26A10
chr17	80220426	+	SLC26A11	SLC26A11
chr5	149960757	+	SLC26A2	SLC26A2
chr7	107803223	-	SLC26A3	SLC26A3
chr7	107660827	+	SLC26A4	SLC26A4
chr7	107661798	-	SLC26A4-AS1	SLC26A4-AS1
chr7	103443211	-	SLC26A5	SLC26A5
chr3	48633846	-	SLC26A6	SLC26A6
chr8	91209495	+	SLC26A7	SLC26A7
chr6	36024500	-	SLC26A8	SLC26A8
chr1	205943456	-	SLC26A9	SLC26A9
chr1	205934912	+	SLC26A9-AS1	SLC26A9-AS1
chr19	17470523	+	SLC27A1	SLC27A1
chr15	50182195	+	SLC27A2	SLC27A2
chr1	153775406	+	SLC27A3	SLC27A3
chr9	128340526	+	SLC27A4	SLC27A4
chr19	58511992	-	SLC27A5	SLC27A5
chr5	128965126	+	SLC27A6	SLC27A6
chr15	84884660	+	SLC28A1	SLC28A1
chr15	45252233	+	SLC28A2	SLC28A2
chr9	84340758	-	SLC28A3	SLC28A3
chr6	44219614	+	SLC29A1	SLC29A1
chr11	66371760	-	SLC29A2	SLC29A2
chr10	71319252	+	SLC29A3	SLC29A3
chr7	5282942	+	SLC29A4	SLC29A4
chr1	42958868	-	SLC2A1	SLC2A1
chr1	42959048	+	SLC2A1-AS1	SLC2A1-AS1
chr20	46709648	+	SLC2A10	SLC2A10
chr22	23856702	+	SLC2A11	SLC2A11
chr6	134052624	-	SLC2A12	SLC2A12
chr12	40106081	-	SLC2A13	SLC2A13
chr12	7872915	-	SLC2A14	SLC2A14
chr3	171026720	-	SLC2A2	SLC2A2
chr12	7936187	-	SLC2A3	SLC2A3
chr17	7281717	+	SLC2A4	SLC2A4
chr20	63739775	+	SLC2A4RG	SLC2A4RG
chr1	9069635	-	SLC2A5	SLC2A5
chr9	133479099	-	SLC2A6	SLC2A6
chr1	9026345	-	SLC2A7	SLC2A7
chr9	127397137	+	SLC2A8	SLC2A8
chr4	10021497	-	SLC2A9	SLC2A9
chr1	211579161	-	SLC30A1	SLC30A1
chr1	219927637	-	SLC30A10	SLC30A10
chr1	26046118	-	SLC30A2	SLC30A2
chr2	27263047	-	SLC30A3	SLC30A3
chr15	45522755	-	SLC30A4	SLC30A4
chr5	69094013	+	SLC30A5	SLC30A5
chr2	32165840	+	SLC30A6	SLC30A6
chr1	100896089	+	SLC30A7	SLC30A7
chr8	116950216	+	SLC30A8	SLC30A8
chr4	41990529	+	SLC30A9	SLC30A9
chr9	113221543	+	SLC31A1	SLC31A1
chr9	113151006	+	SLC31A2	SLC31A2
chr20	38724485	+	SLC32A1	SLC32A1
chr3	155854406	-	SLC33A1	SLC33A1
chr5	177384433	+	SLC34A1	SLC34A1
chr4	25655850	+	SLC34A2	SLC34A2
chr9	137230756	+	SLC34A3	SLC34A3
chr6	87472924	+	SLC35A1	SLC35A1
chrX	48911646	-	SLC35A2	SLC35A2
chr1	99969995	+	SLC35A3	SLC35A3
chr5	140564564	+	SLC35A4	SLC35A4
chr3	112561319	+	SLC35A5	SLC35A5
chr17	49707964	-	SLC35B1	SLC35B1
chr6	44257288	-	SLC35B2	SLC35B2
chr6	8435545	-	SLC35B3	SLC35B3
chr7	134316930	-	SLC35B4	SLC35B4
chr11	45804071	+	SLC35C1	SLC35C1
chr20	46364425	-	SLC35C2	SLC35C2
chr1	67054148	-	SLC35D1	SLC35D1
chr9	96383710	-	SLC35D2	SLC35D2
chr6	136922300	+	SLC35D3	SLC35D3
chr19	16572415	-	SLC35E1	SLC35E1
chr1	1745999	-	SLC35E2A	SLC35E2A
chr1	1692795	-	SLC35E2B	SLC35E2B
chr12	68746175	+	SLC35E3	SLC35E3
chr22	30635780	+	SLC35E4	SLC35E4
chr6	117907263	+	SLC35F1	SLC35F1
chr11	107858787	-	SLC35F2	SLC35F2
chr1	233904675	+	SLC35F3	SLC35F3
chr14	57864999	-	SLC35F4	SLC35F4
chr2	113756642	-	SLC35F5	SLC35F5
chr2	26764283	+	SLC35F6	SLC35F6
chr10	93893977	+	SLC35G1	SLC35G1
chr3	136819018	+	SLC35G2	SLC35G2
chr17	35194393	-	SLC35G3	SLC35G3
chr18	11609557	+	SLC35G4	SLC35G4
chr8	11331011	+	SLC35G5	SLC35G5
chr17	7481401	+	SLC35G6	SLC35G6
chr5	151437045	+	SLC36A1	SLC36A1
chr5	151347559	-	SLC36A2	SLC36A2
chr5	151303766	-	SLC36A3	SLC36A3
chr11	93197426	-	SLC36A4	SLC36A4
chr21	42499621	+	SLC37A1	SLC37A1
chr11	125063304	+	SLC37A2	SLC37A2
chr7	140398530	-	SLC37A3	SLC37A3
chr11	119029480	-	SLC37A4	SLC37A4
chr12	46266516	-	SLC38A1	SLC38A1
chr17	81295307	-	SLC38A10	SLC38A10
chr2	164955525	-	SLC38A11	SLC38A11
chr12	46372773	-	SLC38A2	SLC38A2
chr3	50205270	+	SLC38A3	SLC38A3
chr12	46825997	-	SLC38A4	SLC38A4
